Subject,DocUnderstanding,Fixation Count,Fixation Duration,Forward Saccade Count,Backward Saccade Count,Ratio Forward/Backward,Velocity,Forward Saccade Length,Backward Saccade Length,,,,,,,,,,
17,4,139,287.3165468,95,43,2.209302326,0.360867752,127.7319364,-276.3630614,,,,,,,,,,
17,5,118,238.7966102,96,21,4.571428571,0.357757602,120.8960491,-584.0337899,,,,,,,,,,
17,5,29,197.9655172,23,5,4.6,0.353416411,119.7358345,-471.8245568,,,,,,,,,,
17,5,66,211.7727273,47,18,2.611111111,0.345723126,169.037093,-363.3702782,,,,,,,,,,
17,5,16,216.3125,11,4,2.75,0.182894496,100.1055449,-33.20567621,,,,,,,,,,
17,5,121,242.6033058,91,29,3.137931034,0.225696645,88.15698559,-264.2891646,,,,,,,,,,
17,5,149,265.3355705,112,36,3.111111111,0.382385045,137.744175,-424.7243101,,,,,,,,,,
17,5,96,236.8229167,71,24,2.958333333,0.337327971,144.2240311,-382.7510882,,,,,,,,,,
17,4,78,215.3717949,55,22,2.5,0.224355101,125.351875,-259.8758756,,,,,,,,,,
17,5,122,282.5163934,94,27,3.481481481,0.32246049,112.9134246,-383.2921738,,,,,,,,,,
17,5,94,225.0957447,70,23,3.043478261,0.235130023,111.6252405,-269.1666016,,,,,,,,,,
17,5,131,253.6717557,98,32,3.0625,0.283374916,109.0670208,-317.1238833,,,,,,,,,,
